country_code,country,year,population,population_grow,population_under_14,population_above_65,gdp,gdp_growth_rate,unemployment,education_gov_expenditure,health_expenditure,life_expectancy_fem,life_expectancy_male,non_commun_disease_death,commun_disease_death,tuberculosis,hiv,infant_mortality,undernourishment,hospital_beds,physicians
AND,Andorra,2005,78867.0,3.38241655431066,,,3256,7.4,,1.6,8.6,,,,,15.0,,,,2.7,3.3
AND,Andorra,2010,84449.0,-0.0165766790187245,,,3355,-5.4,,3.1,9.4,,,,,9.5,,,,,
AND,Andorra,2019,77006.0,0.00649321134981403,,,3013,1.7,,3.2,10.4,,,,,3.0,,,,,3.3
ARE,United Arab Emirates (the),2005,4588225.0,12.0201652676311,18.3412757656828,0.887598145252249,182978,4.9,3.1,,2.3,76.818,74.601,,,2.6,,9.0,4.1,2.2,1.5
ARE,United Arab Emirates (the),2010,8549988.0,7.68705468582298,13.1562991667357,0.685591605508686,289787,1.6,3.7,,3.9,77.77,75.624,70.4,7.5,1.8,,7.7,5.9,1.9,1.5
ARE,United Arab Emirates (the),2019,9630959.0,1.50389675992433,14.6035093701468,1.08500098484481,382575,0.8,1.7,,3.5,79.164,77.133,,,1.0,,6.5,,,2.4
AFG,Afghanistan,2005,25654277.0,3.68273179651497,47.8596414936971,2.22748822740161,6622,9.9,8.5,,9.9,59.628,57.044,,,189.0,0.1,84.6,33.2,0.4,0.2
AFG,Afghanistan,2010,29185507.0,2.74657628012835,48.1781454062114,2.32813156201124,16078,3.2,7.8,3.5,8.6,62.459,59.683,39.2,50.2,189.0,0.1,72.2,22.1,0.4,0.2
AFG,Afghanistan,2019,37172386.0,2.38476110022344,43.0901755117794,2.58492693988024,21993,2.5,8.8,3.9,10.2,66.026,63.047,,,189.0,0.1,60.1,,,0.3
ATG,Antigua and Barbuda,2005,81465.0,1.39556408625686,26.507088933898,6.98091204811883,1022,6.4,8.4,3.4,4.5,76.339,73.58,,,8.5,,11.5,,2.4,
ATG,Antigua and Barbuda,2010,88028.0,1.46706374334825,24.3399827327668,7.35788612714136,1152,-7.2,,2.5,5.4,77.121,74.439,79.1,13.2,9.1,,9.0,,2.2,1.6
ATG,Antigua and Barbuda,2019,96286.0,0.897185120114641,22.0810917475022,8.79982551980558,1510,3.0,,,4.3,77.983,75.721,,,6.0,,6.8,,,2.8
AIA,Anguilla,2005,,,,,229,13.1,7.8,3,,,,,,,,,,,
AIA,Anguilla,2010,,,,,268,-4.5,,2.8,,,,,,,,,,,
AIA,Anguilla,2019,,,,,281,-7.7,,,,,,,,,,,,,
ALB,Albania,2005,3011487.0,-0.511790116421897,26.5008860279706,8.50071756927054,8052,5.5,17.5,3.2,6.3,78.165,72.708,,,19.0,,21.2,10.9,3.1,
ALB,Albania,2010,2913021.0,-0.49646196338738,22.4550826095997,10.645405412373,11927,3.7,14.2,3.3,5.0,79.302,74.145,91.3,3.3,17.0,,16.8,7.4,3.0,1.2
ALB,Albania,2019,2866376.0,-0.246732042281782,17.672873724304,13.7447359109736,13039,3.8,15.1,4.0,6.7,80.167,76.816,,,18.0,,9.2,,,1.2
ARM,Armenia,2005,2981269.0,-0.650321107289265,21.4614648996786,11.8999996310296,5226,13.9,16.1,2.7,7.0,75.641,69.312,,,92.0,0.1,27.1,7.8,4.5,
ARM,Armenia,2010,2877319.0,-0.37371186678708,19.4606854505879,10.9938453122507,9875,2.2,19.0,3.2,5.3,76.383,69.989,91.8,4.2,61.0,0.2,21.0,5.5,3.7,2.8
