country_code,country,year,population,population_grow,population_under_14,population_above_65,gdp,gdp_growth_rate,unemployment,education_gov_expenditure,health_expenditure,life_expectancy_fem,life_expectancy_male,non_commun_disease_death,commun_disease_death,tuberculosis,hiv,infant_mortality,undernourishment,hospital_beds,physicians
ARE,United Arab Emirates (the),2005,4588225.0,12.02,18.34,0.89,182978,4.9,3.1,,2.3,76.82,74.6,,,2.6,,9.0,4.1,2.2,1.5
ARE,United Arab Emirates (the),2010,8549988.0,7.69,13.16,0.69,289787,1.6,3.7,,3.9,77.77,75.62,70.4,7.5,1.8,,7.7,5.9,1.9,1.5
ARE,United Arab Emirates (the),2019,9630959.0,1.5,14.6,1.09,382575,0.8,1.7,,3.5,79.16,77.13,,,1.0,,6.5,,,2.4
AFG,Afghanistan,2005,25654277.0,3.68,47.86,2.23,6622,9.9,8.5,,9.9,59.63,57.04,,,189.0,0.1,84.6,33.2,0.4,0.2
AFG,Afghanistan,2010,29185507.0,2.75,48.18,2.33,16078,3.2,7.8,3.5,8.6,62.46,59.68,39.2,50.2,189.0,0.1,72.2,22.1,0.4,0.2
AFG,Afghanistan,2019,37172386.0,2.38,43.09,2.58,21993,2.5,8.8,3.9,10.2,66.03,63.05,,,189.0,0.1,60.1,,,0.3
ATG,Antigua and Barbuda,2005,81465.0,1.4,26.51,6.98,1022,6.4,8.4,3.4,4.5,76.34,73.58,,,8.5,,11.5,,2.4,
ATG,Antigua and Barbuda,2010,88028.0,1.47,24.34,7.36,1152,-7.2,,2.5,5.4,77.12,74.44,79.1,13.2,9.1,,9.0,,2.2,1.6
ATG,Antigua and Barbuda,2019,96286.0,0.9,22.08,8.8,1510,3.0,,,4.3,77.98,75.72,,,6.0,,6.8,,,2.8
ALB,Albania,2005,3011487.0,-0.51,26.5,8.5,8052,5.5,17.5,3.2,6.3,78.17,72.71,,,19.0,,21.2,10.9,3.1,
ALB,Albania,2010,2913021.0,-0.5,22.46,10.65,11927,3.7,14.2,3.3,5.0,79.3,74.14,91.3,3.3,17.0,,16.8,7.4,3.0,1.2
ALB,Albania,2019,2866376.0,-0.25,17.67,13.74,13039,3.8,15.1,4.0,6.7,80.17,76.82,,,18.0,,9.2,,,1.2
ARM,Armenia,2005,2981269.0,-0.65,21.46,11.9,5226,13.9,16.1,2.7,7.0,75.64,69.31,,,92.0,0.1,27.1,7.8,4.5,
ARM,Armenia,2010,2877319.0,-0.37,19.46,10.99,9875,2.2,19.0,3.2,5.3,76.38,69.99,91.8,4.2,61.0,0.2,21.0,5.5,3.7,2.8
ARM,Armenia,2019,2951776.0,0.24,20.63,11.25,11537,7.5,18.4,2.8,9.9,78.35,71.22,,,31.0,0.2,13.2,,,2.9
AGO,Angola,2005,19433602.0,3.54,46.88,2.53,36971,15.0,21.4,2.8,3.7,52.61,47.89,,,368.0,1.4,128.8,54.8,0.8,0.1
AGO,Angola,2010,23356246.0,3.67,47.04,2.36,83799,4.9,9.9,3.5,2.7,58.03,52.85,23.2,68.7,384.0,1.7,104.2,40.4,,0.1
AGO,Angola,2019,30809762.0,3.28,46.81,2.22,126506,-2.5,8.9,,2.9,63.67,58.06,,,355.0,2.0,78.2,,,0.2
ARG,Argentina,2005,38892931.0,1.04,27.28,9.89,200622,8.9,11.5,3.9,7.6,77.83,71.01,,,31.0,0.3,16.7,4.7,4.0,3.2
ARG,Argentina,2010,40788453.0,0.75,26.04,10.2,426487,10.1,7.7,5.0,8.6,78.65,71.84,79.9,14.1,21.0,0.4,14.2,4.0,4.5,
ARG,Argentina,2019,44494502.0,1.02,24.76,11.12,637486,2.9,7.9,5.6,7.5,79.86,73.08,,,27.0,0.4,12.1,,,4
AUT,Austria,2005,8227829.0,0.68,15.97,16.2,315967,2.2,5.6,5.2,9.6,82.2,76.6,,,13.0,,4.5,2.5,7.7,
AUT,Austria,2010,8363404.0,0.24,14.72,17.8,391893,1.8,4.8,5.7,10.2,83.5,77.8,92.1,2.4,9.1,,3.8,2.5,7.7,4.8
AUT,Austria,2019,8840521.0,0.49,14.3,19.0,416836,2.6,5.4,5.5,10.4,84.0,79.4,,,7.1,,3.3,,,5.1
AUS,Australia,2005,20394800.0,1.32,19.81,12.87,760397,2.8,5.0,4.9,8.0,83.3,78.5,,,6.0,0.1,4.9,2.5,4.0,2.5
AUS,Australia,2010,22031750.0,1.56,19.03,13.38,1297259,2.5,5.2,5.6,8.4,84.0,79.5,90.4,3.9,6.5,0.1,4.4,2.5,3.9,3.3
AUS,Australia,2019,24982688.0,1.54,19.19,15.66,1408676,2.9,5.5,5.3,9.3,84.9,80.7,,,6.6,0.1,3.6,,,3.6
ABW,Aruba,2005,100031.0,1.3,21.47,8.59,2331,1.2,6.9,4.7,,76.7,71.82,,,8.6,,17.8,,,
ABW,Aruba,2010,101669.0,0.21,20.87,10.29,2391,-3.4,10.6,6.7,,77.42,72.52,,,6.8,,16.2,,,
ABW,Aruba,2019,105845.0,0.45,17.8,13.55,2701,1.3,,6.1,,78.51,73.63,,,5.4,,14.8,,,
AZE,Azerbaijan,2005,8391850.0,1.02,26.23,6.59,13245,28.0,7.3,3.0,7.4,71.76,65.74,,,88.0,,54.2,5.5,8.2,
AZE,Azerbaijan,2010,9054332.0,1.19,22.84,5.9,52906,4.8,5.6,2.8,4.9,74.12,67.77,84.3,10.9,104.0,,40.7,2.5,5.1,3.7
AZE,Azerbaijan,2019,9939800.0,0.87,23.37,6.2,40749,0.1,5.0,2.9,6.9,75.34,70.34,,,63.0,,31.4,,,3.4
BIH,Bosnia and Herzegovina,2005,3765331.0,0.03,17.7,13.52,11223,3.9,30.1,,9.1,77.79,72.46,,,70.0,0.1,9.8,3.2,3.0,
BIH,Bosnia and Herzegovina,2010,3705472.0,-0.82,15.74,13.96,17176,0.9,27.2,,9.0,78.48,73.48,93.7,2.1,45.0,0.1,9.0,2.5,3.4,1.8
BIH,Bosnia and Herzegovina,2019,3323929.0,-0.83,14.77,16.47,18169,3.0,26.5,,9.2,79.72,74.75,,,25.0,0.1,6.9,,,2
